Товар	Месяц	Количество	Сумма
Товар 1	Июль	90	8010
Товар 1	Август	120	10680
Товар 1	Сентябрь	120	10680
Товар 1	Октябрь	180	16020
Товар 1	Ноябрь	250	22250
Товар 1	Декабрь	200	17800
Товар 2	Июль	150	7500
Товар 2	Август	164	8200
Товар 2	Сентябрь	154	7700
Товар 2	Октябрь	152	7600
Товар 2	Ноябрь	148	7400
Товар 2	Декабрь	169	8450
Товар 3	Июль	250	7750
Товар 3	Август	222	6882
Товар 3	Сентябрь	255	7905
Товар 3	Октябрь	286	8866
Товар 3	Ноябрь	262	8122
Товар 3	Декабрь	288	8928
Товар 4	Июль	800	36000
Товар 4	Август	858	38610
Товар 4	Сентябрь	774	34830
Товар 4	Октябрь	752	33840
Товар 4	Ноябрь	792	35640
Товар 4	Декабрь	761	34245
Товар 5	Июль	100	2100
Товар 5	Август	92	1932
Товар 5	Сентябрь	102	2142
Товар 5	Октябрь	101	2121
Товар 5	Ноябрь	130	2730
Товар 5	Декабрь	110	2310
Товар 6	Июль	0	0
Товар 6	Август	272	15232
Товар 6	Сентябрь	267	14952
Товар 6	Октябрь	324	18144
Товар 6	Ноябрь	262	14672
Товар 6	Декабрь	271	15176
Товар 7	Июль	1500	46500
Товар 7	Август	1401	43431
Товар 7	Сентябрь	1721	53351
Товар 7	Октябрь	1320	40920
Товар 7	Ноябрь	1692	52452
Товар 7	Декабрь	1604	49724
Товар 8	Июль	0	0
Товар 8	Август	272	7344
Товар 8	Сентябрь	267	7209
Товар 8	Октябрь	324	8748
Товар 8	Ноябрь	262	7074
Товар 8	Декабрь	272	7344
Товар 9	Июль	4000	60000
Товар 9	Август	4550	68250
Товар 9	Сентябрь	4753	71295
Товар 9	Октябрь	4704	70560
Товар 9	Ноябрь	4434	66510
Товар 9	Декабрь	4766	71490
Товар 10	Июль	200	4800
Товар 10	Август	120	2880
Товар 10	Сентябрь	90	2160
Товар 10	Октябрь	140	3360
Товар 10	Ноябрь	150	3600
Товар 10	Декабрь	160	3840
