Класс	Форма шапки	Поверхность шляпки	Цвет шляпки	Синие пятна	Запах	Форма крепления гименофора к ножке	Частота гименофора	Размер гименофора	Цвет гименофора	Форма ножки	Корень ножки	Поверхность ножки выше кольца	Поверхность ножки ниже кольца	Цвет ножки выше кольца	Цвет ножки ниже кольца	Тип покрывала	Цвет покрывала	Количество колец	Остатки частного покрывала	Цвет спор	Частота грибницы	Место обитания
ядовитый	выпуклая	гладкая	коричневый	есть	острый	свободный	закрытые	узкий	черный	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	город
съедобный	выпуклая	гладкая	желтый	есть	миндаля	свободный	закрытые	широкий	черный	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	многочисленные	трава
съедобный	колокол	гладкая	белый	есть	аниса	свободный	закрытые	широкий	коричневый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	многочисленные	луга
ядовитый	выпуклая	чешуйчатая	белый	есть	острый	свободный	закрытые	узкий	коричневый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	город
съедобный	выпуклая	гладкая	серый	нет	отсутствует	свободный	частые	широкий	черный	сужающаяся к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	затухающая	коричневый	обильные	трава
съедобный	выпуклая	чешуйчатая	желтый	есть	миндаля	свободный	закрытые	широкий	коричневый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	многочисленные	трава
съедобный	колокол	гладкая	белый	есть	миндаля	свободный	закрытые	широкий	серый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	многочисленные	луга
съедобный	колокол	чешуйчатая	белый	есть	аниса	свободный	закрытые	широкий	коричневый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	разбросанные	луга
ядовитый	выпуклая	чешуйчатая	белый	есть	острый	свободный	закрытые	узкий	розовый	расширенная к основанию	цилиндрический	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	редкие	трава
съедобный	колокол	гладкая	желтый	есть	миндаля	свободный	закрытые	широкий	серый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	черный	разбросанные	луга
съедобный	выпуклая	чешуйчатая	желтый	есть	аниса	свободный	закрытые	широкий	серый	расширенная к основанию	клубневидный	гладкая	гладкая	белый	белый	частное	белый	одно	подвесная	коричневый	многочисленные	трава
